gene_id	gene_name	Anderson1B	Anderson2B	Barrow1B	Barrow2B	Bechtel1B	Bechtel2B	Bierek1B	Bierek2B	Bolong1B	Bolong2B	Bolong3B	Carey1B	Carey2B	Carroll1B	Carroll2B	Carroll3B	Chandler1B	Chandler2B	Cloquet1B	Cloquet2B	Colton1B	Colton2B	Cooper1B	Cooper2B	Fischer1B	Fischer2B	Foster1B	Foster2B	Greenwell1B	Greenwell2B	Greenwell3B	Halbert1B	Halbert2B	Heiss1B	Heiss2B	Howard1B	Howard2B	Hutter1B	Hutter2B	Keith1B	Keith2B	Klein1B	Klein2B	Lam1B	Lam2B	Martin1B	Martin2B	Max1B	Max2B	McFarland1B	McFarland2B	MJones1B	MJones2B	MJones3B	Murray1B	Pentz1B	Pentz2B	Porbandarwalla1B	Pratt1B	Pratt2B	Ptak1B	Ptak2B	Randolph1B	Randolph2B	Rothery1B	Rothery2B	Smith1B	Smith2B	Strople1B	Strople2B	Swenson1B	Swenson2B	Taucher1B	Taucher2B	Taylor1B	Taylor2B	Wells1B	Wells2B	Willoughby1B	Willoughby2B	Woolsey1B	Woolsey2B
ENSCAFG00845013021	NEU1	1	0	17	6	19	0	3	43	0	9	2	10	15	39	37	32	22	94	0	3	1	4	4	0	0	8	1	2	0	0	30	0	1	12	4	13.658	10	13	9	17	0	15	27	0	1	1	0	8	8	20	7	41	2	0	5	14	0	134	2	1	81	1	54	13.957	19	12	2	13	1	0	6	0	9	30	25	2	25	40	12	2	107	3
ENSCAFG00845013022	ACOT6	0	0	1	1	1	0	0	5	0	1	0	0	2	0	0	0	1	7	0	0	0	0	1	0	2	0	1	3	0	0	3	0	1	1	0	0	1	0	0	2	0	0	1	0	0	0	0	1	1	0	15.904	3	0	0	1	1	0	7	0	0	0	0	1	1	3	3	0	1	0	1	0	0	1	2	1	1	6	2	1	2	4	0
ENSCAFG00845013023	ENSCAFG00845013023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845013024	EN2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.883	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845013025	THNSL2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00845013026	SCUBE2	0	0	0	0	0	0	1.25	0	0	0	0	0	1	0	0	0	0	1.005	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	3.999	0	4	0	0	0	3	0	0	0	0	5	0	3.038	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	2	3	0	0	0	0	2	0	0	3	3
ENSCAFG00845013027	ENSCAFG00845013027	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0
ENSCAFG00845013028	CBARP	0	0	1	1	0	0	0	0	0	0	0	2	4	1	0	0	0	11.749	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0	1	0	0	0	5	0	0	0	0
ENSCAFG00845013029	PMEPA1	1	0	9	6	10	0	4	16	0	10	2	3	6.296	10	11	16	5	11	2	5	2	0	0	0	0	2	1	2	0	0	20.521	2	0	9	0	5	11	6	9	8	0	7	15	0	4	2	0	18	16	24	18.485	35	3	0	10	1	0	29	2	2	39	0	44.688	11	4	8	3	18	2	2	2	6	7	20	3	3	14	14	0	9	97	1
ENSCAFG00845013030	ASAP1	3	0	17.91	28.394	52.999	0	35	64	0	21	3	30	16	42.001	51	30	22	59.885	7	22	0	13	21	0	13	18	11.999	2	1	0	16.001	5	2	24	3	38	12.183	58	69.999	26.001	6	12	44	0	3	18	0	29.448	17.001	65	9.936	120	15	5	36	11	0	69.999	13	0	102	10	53	18	28.001	71	3	47.001	11	0	14	3	23	14	8	4	32	14	22	36.001	45	20.001
